video,path,label,in_air_frames,max_hip_rotation,takeoff_foot,landing_foot,left_ft_ht,red_flag
IMG_3607.mov,dataset_videos/540-kick/IMG_3607.mov,540-kick,17,278.5654761049867,1,1,3.4090918530717906,False
IMG_3612.mov,dataset_videos/540-kick/IMG_3612.mov,540-kick,16,285.56047181101985,1,1,3.2896473605871397,False
IMG_0333.MOV,dataset_videos/540-kick/IMG_0333.MOV,540-kick,14,380.3493648934499,1,1,2.084874143224965,False
IMG_3610.mov,dataset_videos/540-kick/IMG_3610.mov,540-kick,15,278.24461605055603,1,1,3.57199388610864,False
IMG_3611.mov,dataset_videos/540-kick/IMG_3611.mov,540-kick,16,349.3495775332983,1,1,3.790981571804711,False
540.mp4,dataset_videos/540-kick/540.mp4,540-kick,20,710.0017783284629,1,1,1.4786407348823631,True
IMG_2560 4.mov,dataset_videos/540-kick/IMG_2560 4.mov,540-kick,26,890.7226948863524,1,1,2.650300165823625,True
IMG_0145.mov,dataset_videos/540-kick/IMG_0145.mov,540-kick,18,427.61290136889056,1,1,1.851880086573669,False
IMG_2824.MOV,dataset_videos/540-kick/IMG_2824.MOV,540-kick,14,179.05455429234547,1,1,1.831154561642202,False
IMG_2818.MOV,dataset_videos/540-kick/IMG_2818.MOV,540-kick,14,349.147754845613,1,0,2.0418775498481794,False
IMG_2819.MOV,dataset_videos/540-kick/IMG_2819.MOV,540-kick,15,304.57531580841487,1,1,1.9341183864036844,False
IMG_0954.mov,dataset_videos/540-kick/IMG_0954.mov,540-kick,15,712.0627366885633,1,2,3.0133591755797173,True
IMG_2822.MOV,dataset_videos/540-kick/IMG_2822.MOV,540-kick,14,209.11998400050933,1,1,1.7907695381929363,False
IMG_0953.mov,dataset_videos/540-kick/IMG_0953.mov,540-kick,14,1015.6967345874152,1,-1,0.0,True
IMG_2823.MOV,dataset_videos/540-kick/IMG_2823.MOV,540-kick,14,241.61810157076644,1,1,1.8654294963071227,False
IMG_3295.mov,dataset_videos/540-kick/IMG_3295.mov,540-kick,14,415.5235816717695,1,1,1.4958638293950948,False
IMG_2821.MOV,dataset_videos/540-kick/IMG_2821.MOV,540-kick,14,278.1220343219993,1,0,2.0589010768108307,False
IMG_2820.MOV,dataset_videos/540-kick/IMG_2820.MOV,540-kick,13,266.89363917192605,1,1,1.85654416587406,False
IMG_3294.mov,dataset_videos/540-kick/IMG_3294.mov,540-kick,16,409.082992102753,1,0,2.0039366625200787,False
IMG_3608.mov,dataset_videos/540-kick/IMG_3608.mov,540-kick,16,407.4186759479084,1,1,3.5319149405384977,False
IMG_3609.mov,dataset_videos/540-kick/IMG_3609.mov,540-kick,16,294.81625077683907,1,1,3.703485705469746,False
IMG_1020.MOV,dataset_videos/540-kick/IMG_1020.MOV,540-kick,14,302.3450992618772,1,1,2.2385389180568294,False
IMG_9092.mov,dataset_videos/540-kick/IMG_9092.mov,540-kick,4,61.8970356843555,1,0,1.933349864511494,True
IMG_1959.MOV,dataset_videos/540-kick/IMG_1959.MOV,540-kick,16,317.255271610318,1,1,2.839943893348917,False
IMG_0305.MOV,dataset_videos/540-kick/IMG_0305.MOV,540-kick,16,615.1351612834769,1,1,1.8530458594204389,True
IMG_7513.mov,dataset_videos/cheat-720/IMG_7513.mov,cheat-720,18,500.4390157747789,1,2,1.6781590760173295,True
IMG_7507.mov,dataset_videos/cheat-720/IMG_7507.mov,cheat-720,19,486.8624619371496,1,1,1.4460264897907413,False
IMG_7512.mov,dataset_videos/cheat-720/IMG_7512.mov,cheat-720,15,338.52926816334997,1,1,1.0988391656090768,False
IMG_8545.mov,dataset_videos/cheat-720/IMG_8545.mov,cheat-720,19,343.61311841331377,1,2,3.1904759202648623,True
IMG_7514.mov,dataset_videos/cheat-720/IMG_7514.mov,cheat-720,14,342.806848188817,1,1,1.6611338030697083,False
IMG_8546.mov,dataset_videos/cheat-720/IMG_8546.mov,cheat-720,21,724.0717650011318,1,1,3.164383259675043,True
IMG_9089.MOV,dataset_videos/cheat-720/IMG_9089.MOV,cheat-720,14,409.9280786411917,1,1,2.0320861493401186,False
IMG_8521.mov,dataset_videos/cheat-720/IMG_8521.mov,cheat-720,15,465.75873312726065,1,2,3.346205447646212,True
IMG_2560 2.MOV,dataset_videos/cheat-720/IMG_2560 2.MOV,cheat-720,12,465.39251971814576,1,0,2.530637853294622,True
IMG_3864.MOV,dataset_videos/cheat-720/IMG_3864.MOV,cheat-720,14,433.936722621916,1,1,1.7426303934233036,False
IMG_8529.mov,dataset_videos/cheat-720/IMG_8529.mov,cheat-720,14,408.45220195425856,1,1,2.793540003873107,False
IMG_9090.MOV,dataset_videos/cheat-720/IMG_9090.MOV,cheat-720,16,454.46071327187144,1,1,1.274483672619874,False
IMG_9091.MOV,dataset_videos/cheat-720/IMG_9091.MOV,cheat-720,16,517.9545348162218,1,1,1.9337646374812367,False
IMG_9085.MOV,dataset_videos/cheat-720/IMG_9085.MOV,cheat-720,14,440.8761471815727,1,1,2.178638437482897,True
IMG_9093.MOV,dataset_videos/cheat-720/IMG_9093.MOV,cheat-720,15,428.3639151730609,1,1,1.5385225124106934,False
IMG_9087.MOV,dataset_videos/cheat-720/IMG_9087.MOV,cheat-720,15,431.94248481131655,1,1,1.0412714228845932,False
IMG_9078.mov,dataset_videos/cheat-720/IMG_9078.mov,cheat-720,16,481.40704026382684,1,1,2.3509828066592555,True
IMG_9086.MOV,dataset_videos/cheat-720/IMG_9086.MOV,cheat-720,16,492.72769506831105,1,1,1.2075808205520138,False
IMG_9082.MOV,dataset_videos/cheat-720/IMG_9082.MOV,cheat-720,15,449.59966285773555,1,1,1.7692227515755146,False
IMG_7508.mov,dataset_videos/cheat-720/IMG_7508.mov,cheat-720,16,481.83570870624243,1,1,1.0737209316397718,False
IMG_7509.mov,dataset_videos/cheat-720/IMG_7509.mov,cheat-720,22,827.4008326743985,1,1,1.733045242070958,True
IMG_8376.mov,dataset_videos/cheat-720/IMG_8376.mov,cheat-720,18,550.7049132112237,1,1,3.3221986043593277,True
IMG_9083.MOV,dataset_videos/cheat-720/IMG_9083.MOV,cheat-720,17,563.5360265364359,1,1,2.236012557918062,False
IMG_9081.MOV,dataset_videos/cheat-720/IMG_9081.MOV,cheat-720,14,413.36537173481275,1,1,1.850701716798646,False
IMG_9095.MOV,dataset_videos/cheat-720/IMG_9095.MOV,cheat-720,14,375.8637684328303,1,1,1.758074731851105,False
cheat720.mp4,dataset_videos/cheat-720/cheat720.mp4,cheat-720,20,435.10057532359644,1,1,1.0962173491593252,False
IMG_9094.MOV,dataset_videos/cheat-720/IMG_9094.MOV,cheat-720,14,402.27436784764785,1,1,1.5932144854923536,False
IMG_9074.mov,dataset_videos/cheat-900/IMG_9074.mov,cheat-900,12,436.8427698066493,1,0,3.007208493119428,False
IMG_9075.mov,dataset_videos/cheat-900/IMG_9075.mov,cheat-900,15,484.7487687880816,1,0,3.065274877693937,False
IMG_1715.MOV,dataset_videos/cheat-900/IMG_1715.MOV,cheat-900,12,345.358996384285,1,0,2.182608230672727,False
IMG_2560 3.MOV,dataset_videos/cheat-900/IMG_2560 3.MOV,cheat-900,11,208.81848387148943,0,0,2.5840016139295625,False
IMG_1714.MOV,dataset_videos/cheat-900/IMG_1714.MOV,cheat-900,4,195.70271020450116,1,1,2.0211625288240285,True
IMG_4068.MOV,dataset_videos/cheat-900/IMG_4068.MOV,cheat-900,18,542.862534123307,1,0,3.709183948733889,False
IMG_1716.MOV,dataset_videos/cheat-900/IMG_1716.MOV,cheat-900,18,483.8861155894884,1,1,2.0523129976483743,False
IMG_1717.MOV,dataset_videos/cheat-900/IMG_1717.MOV,cheat-900,11,367.1025602154297,1,0,2.456467987688197,False
IMG_1719.MOV,dataset_videos/cheat-900/IMG_1719.MOV,cheat-900,11,357.7046440511448,1,0,2.0545659809384027,False
IMG_1718.MOV,dataset_videos/cheat-900/IMG_1718.MOV,cheat-900,11,376.7819987146004,1,0,2.2052993668033727,False
IMG_1650.mov,dataset_videos/cheat-900/IMG_1650.mov,cheat-900,18,382.7703550684637,1,0,4.244251835600195,False
IMG_8985.MOV,dataset_videos/cheat-900/IMG_8985.MOV,cheat-900,14,423.8907060203331,1,0,3.60522745574903,False
IMG_5912.mov,dataset_videos/cheat-900/IMG_5912.mov,cheat-900,21,565.7425427442855,1,0,1.9277971627557355,False
IMG_8984.MOV,dataset_videos/cheat-900/IMG_8984.MOV,cheat-900,11,310.8361327831191,1,0,3.240953559770614,False
IMG_2271.MOV,dataset_videos/cheat-900/IMG_2271.MOV,cheat-900,9,102.65993158912278,0,0,3.0405101532516823,False
cheat900.mp4,dataset_videos/cheat-900/cheat900.mp4,cheat-900,18,556.0439607913942,1,0,2.273380545435106,False
IMG_8979.MOV,dataset_videos/cheat-900/IMG_8979.MOV,cheat-900,13,385.4109811855943,1,0,2.9297811197520747,False
IMG_8983.MOV,dataset_videos/cheat-900/IMG_8983.MOV,cheat-900,12,428.94768546506214,1,0,3.353125764947039,False
IMG_8982.MOV,dataset_videos/cheat-900/IMG_8982.MOV,cheat-900,13,448.1212685727482,1,0,3.0060127197989703,False
IMG_8980.MOV,dataset_videos/cheat-900/IMG_8980.MOV,cheat-900,13,461.4543378304224,1,0,3.290037545719432,False
IMG_8981.MOV,dataset_videos/cheat-900/IMG_8981.MOV,cheat-900,12,411.63746188638333,1,0,3.114965675825956,False
